label,text
ham,Hey are we still meeting after lunch today
ham,Please review the project notes when you have a moment
ham,Your package has been delivered to the front desk
ham,I will send the meeting agenda before noon
ham,Can you call me back when you are free
ham,The weekly report is attached for your review
ham,Thanks for your help with the presentation
ham,I booked the conference room for tomorrow at 10
ham,Reminder dentist appointment at 3 PM tomorrow
ham,Happy birthday hope you have a great day
ham,The invoice has been approved and sent to finance
ham,I updated the spreadsheet with the latest figures
spam,Congratulations you have won a free prize click now
spam,Urgent your account is locked verify your password immediately
spam,You have been selected for a cash reward reply to claim
spam,Claim your free vacation ticket today by calling this number
spam,Limited time offer buy now and get 90 percent off
spam,Your phone has won a gift card enter the code to redeem
spam,Act fast your subscription will expire unless you confirm payment
spam,Win big prizes now by joining this exclusive contest
spam,We noticed suspicious activity verify your banking details immediately
spam,Earn money from home with this simple guaranteed method
spam,Free access unlocked download the attachment to continue
spam,You are pre approved for an instant loan apply today
spam,Click the link to claim your compensation reward
spam,This is your final notice to activate the bonus now
spam,Important your lottery entry has already been selected
